mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,166566629,38.7695559,-77.4918593,-88,1763409014723,3.0,17.796968,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7695559,-77.4918593,-88,1763409014723,3.0,17.796968,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7695559,-77.4918593,-88,1763409014723,3.0,17.796968,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7695559,-77.4918593,-88,1763409014723,3.0,17.796968,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7694002,-77.4908307,-83,1763409019718,3.0,18.740133,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7694002,-77.4908307,-83,1763409019718,3.0,18.740133,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7694002,-77.4908307,-83,1763409019718,3.0,18.740133,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7694002,-77.4908307,-83,1763409019718,3.0,18.740133,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.769244,-77.4897922,-86,1763409024736,3.0,18.007915,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.769244,-77.4897922,-86,1763409024736,3.0,18.007915,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.769244,-77.4897922,-86,1763409024736,3.0,18.007915,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.769244,-77.4897922,-86,1763409024736,3.0,18.007915,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7690868,-77.4887575,-88,1763409029738,3.0,18.418692,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7690868,-77.4887575,-88,1763409029738,3.0,18.418692,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7690868,-77.4887575,-88,1763409029738,3.0,18.418692,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7690868,-77.4887575,-88,1763409029738,3.0,18.418692,101.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7688767,-77.4877416,-83,1763409034739,3.0,18.208654,109.0,LTE,21,,5124,170,,,
